breach_id,run_id,timestamp,agent_id,policy_breach_type,severity,breach_description,requires_review,environment
breach_000031,run_000096_acea2472,2026-02-09T06:00:53.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000032,run_000097_22a89cd4,2026-02-09T06:30:20.771687+00:00,agent_hr_policy,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000033,run_000103_f6b8369b,2026-02-09T14:21:48.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000034,run_000104_3770e455,2026-02-09T14:26:24.771687+00:00,agent_hr_policy,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,prod
breach_000035,run_000108_96a00451,2026-02-09T20:40:28.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000036,run_000110_f90b5905,2026-02-09T23:06:39.771687+00:00,agent_hr_policy,Run Failure,medium,Run did not complete and requires operational review.,True,test
breach_000037,run_000111_9b16448d,2026-02-10T00:24:41.771687+00:00,agent_hr_policy,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000038,run_000122_c785cfaa,2026-02-10T12:09:57.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000039,run_000123_046d58b9,2026-02-10T12:14:11.771687+00:00,agent_powerbi_optimiser,Run Failure,medium,Run did not complete and requires operational review.,True,dev
breach_000040,run_000124_18a06e38,2026-02-10T13:19:36.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000041,run_000125_aa83a24d,2026-02-10T13:47:58.771687+00:00,agent_hr_policy,Run Failure,medium,Run did not complete and requires operational review.,True,test
breach_000042,run_000126_8718a333,2026-02-10T16:23:48.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000043,run_000127_9a2f5541,2026-02-10T17:11:10.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000044,run_000128_bbabad3e,2026-02-10T18:21:58.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000045,run_000132_de9f0652,2026-02-10T23:48:06.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000046,run_000136_1150b1c5,2026-02-11T00:48:59.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000047,run_000137_cda79508,2026-02-11T01:24:44.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000048,run_000139_dfc14291,2026-02-11T02:12:38.771687+00:00,agent_hr_policy,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,test
breach_000049,run_000141_aab4f3a2,2026-02-11T03:11:10.771687+00:00,agent_invoice_dispute,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,dev
breach_000050,run_000144_1b6f6d4c,2026-02-11T05:59:47.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000051,run_000146_b1c0890b,2026-02-11T06:31:57.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000052,run_000152_0bb318c0,2026-02-11T12:45:34.771687+00:00,agent_hr_policy,High Cost,medium,Run exceeded the expected cost band for this agent workflow.,True,test
breach_000053,run_000153_7ba9af98,2026-02-11T14:29:52.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000054,run_000154_d3c77388,2026-02-11T15:02:57.771687+00:00,agent_powerbi_optimiser,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,prod
breach_000055,run_000155_924aaabc,2026-02-11T15:27:59.771687+00:00,agent_invoice_dispute,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000056,run_000157_a128c5b5,2026-02-11T15:47:42.771687+00:00,agent_hr_policy,Run Failure,medium,Run did not complete and requires operational review.,True,test
breach_000057,run_000159_8bc1f825,2026-02-11T20:41:05.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000058,run_000162_7c1d9c0e,2026-02-12T00:08:42.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000059,run_000165_ec2f82e0,2026-02-12T03:17:01.771687+00:00,agent_invoice_dispute,Run Failure,medium,Run did not complete and requires operational review.,True,test
breach_000060,run_000169_e02d4b67,2026-02-12T05:18:57.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000061,run_000173_22b146d2,2026-02-12T13:43:24.771687+00:00,agent_hr_policy,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,prod
breach_000062,run_000174_ac7fbafe,2026-02-12T14:37:17.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000063,run_000175_fa34efd0,2026-02-12T15:37:41.771687+00:00,agent_powerbi_optimiser,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000064,run_000176_5a638608,2026-02-12T15:43:21.771687+00:00,agent_powerbi_optimiser,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,prod
breach_000065,run_000177_1ec9792f,2026-02-12T18:04:29.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000066,run_000181_a7d42d15,2026-02-13T02:33:23.771687+00:00,agent_powerbi_optimiser,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,test
breach_000067,run_000182_01a476c9,2026-02-13T02:44:04.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000068,run_000183_d3875164,2026-02-13T03:58:11.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000069,run_000184_45ca4fcc,2026-02-13T04:44:44.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000070,run_000189_7849d8f2,2026-02-13T08:57:56.771687+00:00,agent_hr_policy,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,test
breach_000071,run_000199_c96ea701,2026-02-13T20:16:45.771687+00:00,agent_invoice_dispute,Run Failure,medium,Run did not complete and requires operational review.,True,test
breach_000072,run_000203_abfdbe17,2026-02-13T23:14:17.771687+00:00,agent_powerbi_optimiser,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000073,run_000211_82401b87,2026-02-14T03:29:09.771687+00:00,agent_invoice_dispute,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000074,run_000215_f95527e3,2026-02-14T07:10:55.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000075,run_000216_91c82a32,2026-02-14T07:39:43.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000076,run_000217_ee51443a,2026-02-14T09:30:34.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000077,run_000224_6742b6b5,2026-02-14T19:42:17.771687+00:00,agent_powerbi_optimiser,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,test
breach_000078,run_000225_e9fa602a,2026-02-14T20:00:59.771687+00:00,agent_invoice_dispute,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,prod
breach_000079,run_000226_41daecd3,2026-02-14T20:01:26.771687+00:00,agent_invoice_dispute,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000080,run_000227_2a5aac55,2026-02-14T20:36:00.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000081,run_000228_dbe1b015,2026-02-14T20:43:54.771687+00:00,agent_hr_policy,Run Failure,medium,Run did not complete and requires operational review.,True,dev
breach_000082,run_000229_49ce3e5c,2026-02-14T22:14:59.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000083,run_000232_da10a1de,2026-02-15T00:16:57.771687+00:00,agent_powerbi_optimiser,Run Failure,medium,Run did not complete and requires operational review.,True,dev
breach_000084,run_000238_8950f7e3,2026-02-15T08:57:27.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000085,run_000241_1ca5b30c,2026-02-15T10:44:22.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000086,run_000247_ad8298e1,2026-02-15T13:06:13.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000087,run_000249_ae532153,2026-02-15T14:15:08.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000088,run_000250_9ca69e24,2026-02-15T14:42:57.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000089,run_000255_eb084d31,2026-02-15T23:29:29.771687+00:00,agent_hr_policy,Run Failure,medium,Run did not complete and requires operational review.,True,test
breach_000090,run_000256_6d4db3ec,2026-02-16T01:17:02.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000091,run_000257_c490c005,2026-02-16T02:05:44.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000092,run_000259_858b987b,2026-02-16T02:55:17.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000093,run_000262_37d5a948,2026-02-16T08:07:05.771687+00:00,agent_powerbi_optimiser,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000094,run_000264_df859d48,2026-02-16T10:32:00.771687+00:00,agent_powerbi_optimiser,Run Failure,medium,Run did not complete and requires operational review.,True,test
breach_000095,run_000265_be364c70,2026-02-16T11:00:05.771687+00:00,agent_invoice_dispute,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,prod
breach_000096,run_000268_42aa7d5b,2026-02-16T14:10:59.771687+00:00,agent_powerbi_optimiser,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000097,run_000271_824c4eb5,2026-02-16T14:23:17.771687+00:00,agent_hr_policy,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,test
breach_000098,run_000277_b13a0c15,2026-02-16T19:18:33.771687+00:00,agent_invoice_dispute,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,prod
breach_000099,run_000279_583d6a89,2026-02-17T00:58:02.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000100,run_000281_c38482d5,2026-02-17T01:25:06.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000101,run_000284_62a0baa7,2026-02-17T04:05:24.771687+00:00,agent_hr_policy,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000102,run_000286_d2da9475,2026-02-17T04:46:54.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000103,run_000287_c4796abe,2026-02-17T06:50:17.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000104,run_000288_ba5492f0,2026-02-17T09:03:23.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000105,run_000293_22f95431,2026-02-17T18:28:18.771687+00:00,agent_invoice_dispute,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,dev
breach_000106,run_000297_56426dff,2026-02-17T21:50:22.771687+00:00,agent_hr_policy,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000107,run_000299_d4ca35f0,2026-02-18T00:07:23.771687+00:00,agent_powerbi_optimiser,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,prod
breach_000108,run_000305_75ff89e3,2026-02-18T09:16:58.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000109,run_000310_df8d3275,2026-02-18T17:13:08.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000110,run_000313_043dde25,2026-02-18T19:18:21.771687+00:00,agent_hr_policy,Run Failure,medium,Run did not complete and requires operational review.,True,test
breach_000111,run_000315_2e857e43,2026-02-18T19:47:28.771687+00:00,agent_invoice_dispute,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000112,run_000316_be1a5118,2026-02-18T23:35:47.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000113,run_000321_c524a8f0,2026-02-19T04:16:36.771687+00:00,agent_powerbi_optimiser,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000114,run_000324_157a06cd,2026-02-19T06:54:51.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000115,run_000325_e9a6bfc0,2026-02-19T07:49:23.771687+00:00,agent_invoice_dispute,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000116,run_000328_db958b5f,2026-02-19T08:50:17.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000117,run_000333_c10e4237,2026-02-19T14:58:49.771687+00:00,agent_powerbi_optimiser,Run Failure,medium,Run did not complete and requires operational review.,True,test
breach_000118,run_000340_c1067235,2026-02-19T20:10:07.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000119,run_000343_d3328d37,2026-02-20T00:34:19.771687+00:00,agent_hr_policy,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000120,run_000344_74acf4c3,2026-02-20T00:38:55.771687+00:00,agent_hr_policy,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000121,run_000348_729ec2a0,2026-02-20T05:44:15.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000122,run_000352_54d8f8d9,2026-02-20T08:54:33.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000123,run_000355_b8461990,2026-02-20T11:47:36.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000124,run_000356_63ff048f,2026-02-20T15:06:45.771687+00:00,agent_invoice_dispute,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,dev
breach_000125,run_000357_c65f1df1,2026-02-20T19:32:42.771687+00:00,agent_invoice_dispute,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000126,run_000359_6768e7e7,2026-02-20T22:55:03.771687+00:00,agent_hr_policy,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,prod
breach_000127,run_000360_012731cc,2026-02-21T05:09:01.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000128,run_000361_93f703d4,2026-02-21T05:38:55.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000129,run_000362_9599214b,2026-02-21T06:09:31.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000130,run_000363_869b2bf6,2026-02-21T06:44:35.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000131,run_000364_a2201e55,2026-02-21T08:04:36.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000132,run_000366_264ebd24,2026-02-21T09:24:23.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000133,run_000370_1c1b2203,2026-02-21T16:13:43.771687+00:00,agent_powerbi_optimiser,Run Failure,medium,Run did not complete and requires operational review.,True,test
breach_000134,run_000371_8148dcfb,2026-02-21T16:25:28.771687+00:00,agent_powerbi_optimiser,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,test
breach_000135,run_000372_50da46d8,2026-02-21T18:04:34.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000136,run_000375_d7a2a2b0,2026-02-21T23:02:09.771687+00:00,agent_powerbi_optimiser,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000137,run_000377_ebffcbe5,2026-02-21T23:51:11.771687+00:00,agent_invoice_dispute,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000138,run_000383_1a77f233,2026-02-22T15:43:38.771687+00:00,agent_invoice_dispute,High Cost,medium,Run exceeded the expected cost band for this agent workflow.,True,dev
breach_000139,run_000387_f137b8fd,2026-02-22T19:10:30.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000140,run_000390_745e9d3e,2026-02-22T20:17:23.771687+00:00,agent_invoice_dispute,High Cost,medium,Run exceeded the expected cost band for this agent workflow.,True,test
breach_000141,run_000391_c7a8c0af,2026-02-22T21:19:45.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000142,run_000395_856428ff,2026-02-23T00:12:01.771687+00:00,agent_invoice_dispute,Run Failure,medium,Run did not complete and requires operational review.,True,dev
breach_000143,run_000399_bd8e9037,2026-02-23T05:12:08.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000144,run_000401_9356cec2,2026-02-23T13:05:15.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000145,run_000406_ea5c326c,2026-02-23T16:20:41.771687+00:00,agent_invoice_dispute,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000146,run_000408_8f04d81e,2026-02-23T17:10:26.771687+00:00,agent_hr_policy,Run Failure,medium,Run did not complete and requires operational review.,True,dev
breach_000147,run_000409_981f3453,2026-02-23T20:01:16.771687+00:00,agent_hr_policy,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000148,run_000411_e7be51ec,2026-02-24T02:27:38.771687+00:00,agent_invoice_dispute,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,test
breach_000149,run_000413_67075bc6,2026-02-24T04:05:38.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000150,run_000414_7b50dde5,2026-02-24T06:17:57.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000151,run_000419_2b4a1fbe,2026-02-24T17:38:57.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000152,run_000421_076d8bcb,2026-02-24T18:56:17.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000153,run_000435_572f0a83,2026-02-25T05:51:10.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000154,run_000437_6c1eccf7,2026-02-25T08:20:53.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000155,run_000439_1db236de,2026-02-25T11:24:55.771687+00:00,agent_powerbi_optimiser,Run Failure,medium,Run did not complete and requires operational review.,True,dev
breach_000156,run_000443_5d05f2e4,2026-02-25T14:27:11.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000157,run_000446_cdd11bb7,2026-02-25T15:52:33.771687+00:00,agent_hr_policy,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,dev
breach_000158,run_000447_ab55c587,2026-02-25T17:16:45.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000159,run_000448_1601012a,2026-02-25T17:47:57.771687+00:00,agent_invoice_dispute,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,dev
breach_000160,run_000452_dd6ebb1b,2026-02-25T20:29:33.771687+00:00,agent_powerbi_optimiser,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000161,run_000455_a4d72d70,2026-02-26T00:15:15.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000162,run_000456_31980c02,2026-02-26T02:36:39.771687+00:00,agent_hr_policy,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,prod
breach_000163,run_000457_071c28ae,2026-02-26T03:35:10.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000164,run_000458_2335b051,2026-02-26T03:43:05.771687+00:00,agent_hr_policy,Run Failure,medium,Run did not complete and requires operational review.,True,prod
breach_000165,run_000462_c91cb388,2026-02-26T06:01:28.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000166,run_000463_155bf91e,2026-02-26T10:12:35.771687+00:00,agent_powerbi_optimiser,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,prod
breach_000167,run_000464_388563bb,2026-02-26T10:13:01.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000168,run_000467_66d47eaa,2026-02-26T12:33:51.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000169,run_000474_fe82e41c,2026-02-26T19:00:49.771687+00:00,agent_hr_policy,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
breach_000170,run_000485_94e74cf9,2026-02-27T03:15:33.771687+00:00,agent_invoice_dispute,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,test
breach_000171,run_000490_588c7005,2026-02-27T07:46:24.771687+00:00,agent_powerbi_optimiser,Low Groundedness,high,Response confidence fell below the accepted governance threshold.,True,dev
breach_000172,run_000491_d1fc446a,2026-02-27T08:51:53.771687+00:00,agent_invoice_dispute,Data Risk,high,Run used a sensitive synthetic source in a production-like environment.,True,prod
