run_id,timestamp,agent_id,agent_name,business_domain,model_used,input_tokens,output_tokens,estimated_cost_aud,latency_ms,status,risk_level,groundedness_score,user_feedback,policy_breach_type,tool_calls_count,data_source_used,environment
run_000011_285896d4,2026-02-04T21:03:21.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,claude-sonnet,744,3063,0.0723,1652,success,high,0.966,positive,Data Risk,1,synthetic customer account notes,prod
run_000012_0dd2bd26,2026-02-04T21:52:27.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4.1,2251,803,0.0164,1584,success,low,0.893,not_provided,,0,capacity utilisation extract,prod
run_000013_6dc5f5eb,2026-02-04T23:16:43.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,1580,1017,0.0014,592,success,low,0.649,neutral,,0,semantic model metadata,test
run_000014_c8285604,2026-02-05T00:53:29.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,4682,454,0.0016,1518,success,low,0.799,positive,,1,capacity utilisation extract,test
run_000015_35561bdb,2026-02-05T02:21:52.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,claude-sonnet,4483,670,0.0352,2515,success,low,0.767,positive,,3,semantic model metadata,dev
run_000016_3deeea73,2026-02-05T03:00:18.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,1384,432,0.0008,1377,success,low,0.942,positive,,0,Power BI usage metrics,test
run_000017_15009f2f,2026-02-05T05:50:31.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4.1,1135,1829,0.0254,1928,success,high,0.76,positive,Data Risk,0,synthetic customer account notes,prod
run_000018_a9d813db,2026-02-05T06:01:59.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4.1,1126,260,0.0065,823,success,low,0.99,negative,,1,invoice ledger extract,test
run_000019_2ff3a937,2026-02-05T06:40:03.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,1836,869,0.0013,1157,success,low,0.916,neutral,,8,capacity utilisation extract,dev
run_000020_c078b0aa,2026-02-05T07:47:21.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,3618,246,0.0012,1063,success,low,0.936,not_provided,,0,DAX performance logs,test
run_000021_3285663a,2026-02-05T10:53:17.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,2985,242,0.001,550,success,low,0.985,positive,,0,capacity utilisation extract,test
run_000022_0247a5e0,2026-02-05T12:42:57.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,1991,574,0.0011,843,success,high,0.6,positive,Low Groundedness,2,HR policy knowledge base,test
run_000023_75337cc6,2026-02-05T13:37:01.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,2355,490,0.0011,554,success,low,0.738,positive,,1,Power BI usage metrics,prod
run_000024_bbf53bfd,2026-02-05T15:59:57.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,3739,316,0.0013,533,success,high,0.465,positive,Low Groundedness,0,Power BI usage metrics,dev
run_000025_482759ff,2026-02-05T16:34:06.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4.1,2956,2191,0.0352,2992,success,low,0.822,positive,,1,vendor contract summary,prod
run_000026_6f8b9e40,2026-02-05T17:06:13.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,1503,517,0.0009,1154,success,high,0.402,positive,Low Groundedness,1,semantic model metadata,test
run_000027_b66895be,2026-02-05T18:31:25.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,3742,507,0.0014,1035,success,low,0.931,neutral,,1,HR policy knowledge base,prod
run_000028_5fd8fd19,2026-02-05T18:45:45.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,claude-sonnet,2203,334,0.0174,7354,failed,medium,0.946,negative,Run Failure,1,synthetic customer account notes,test
run_000029_35ab6026,2026-02-05T19:53:52.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4.1,1177,459,0.009,1327,success,low,0.841,positive,,0,synthetic employee case notes,test
run_000030_40a59ebe,2026-02-05T20:54:29.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,1201,630,0.0009,1100,cancelled,medium,0.745,negative,Run Failure,1,DAX performance logs,dev
run_000031_66e7c95e,2026-02-06T00:18:54.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,2304,508,0.0011,1178,success,low,0.639,positive,,3,DAX performance logs,prod
run_000032_28dbfadc,2026-02-06T05:18:06.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,claude-sonnet,4242,1242,0.047,4325,failed,medium,0.86,neutral,Run Failure,9,payment dispute queue,test
run_000033_365f43b2,2026-02-06T05:31:10.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4.1,1063,1753,0.0242,2574,success,low,0.861,negative,,2,payment dispute queue,test
run_000034_685763b9,2026-02-06T05:38:53.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,1955,375,0.0009,650,success,low,0.895,positive,,4,capacity utilisation extract,prod
run_000035_421f0f01,2026-02-06T07:37:27.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,local-gemma,3454,677,0.0002,478,success,low,0.642,negative,,1,vendor contract summary,prod
run_000036_0bad143a,2026-02-06T08:28:33.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,local-gemma,2211,605,0.0001,1059,success,low,0.77,neutral,,4,capacity utilisation extract,prod
run_000037_eace5c21,2026-02-06T09:08:56.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,1446,617,0.001,200,success,high,0.779,positive,Data Risk,0,employee handbook,prod
run_000038_92fac318,2026-02-06T09:54:07.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4.1,3079,616,0.0166,1446,success,low,0.983,positive,,1,payment dispute queue,dev
run_000039_9c18bb55,2026-02-06T11:15:30.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,claude-sonnet,1088,2368,0.0582,2762,success,high,0.797,neutral,Data Risk,3,synthetic customer account notes,prod
run_000040_0b3310bb,2026-02-06T15:16:39.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4.1,1251,775,0.0131,1425,success,low,0.754,positive,,2,capacity utilisation extract,prod
run_000041_cf8325aa,2026-02-06T17:03:03.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,1058,694,0.001,794,success,low,0.902,positive,,1,employee handbook,test
run_000042_a2b7c8c4,2026-02-06T17:53:31.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4.1,1498,1321,0.0203,2780,success,low,0.744,negative,,2,payment dispute queue,prod
run_000043_0b999456,2026-02-06T18:24:53.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,1704,685,0.0011,760,success,high,0.958,positive,Data Risk,4,synthetic customer account notes,prod
run_000044_4186a6a6,2026-02-06T18:26:49.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,2205,2048,0.0026,860,success,high,0.824,positive,Data Risk,8,invoice ledger extract,prod
run_000045_53fd1b2b,2026-02-06T19:58:14.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,local-gemma,3304,437,0.0002,539,success,low,0.724,positive,,9,semantic model metadata,prod
run_000046_2c0d7137,2026-02-06T20:12:27.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,local-gemma,1386,394,0.0001,788,success,low,0.899,neutral,,3,Power BI usage metrics,prod
run_000047_9cdf5f4a,2026-02-06T20:24:18.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,5542,558,0.0019,965,success,high,0.65,not_provided,Data Risk,1,employee handbook,prod
run_000048_58e80f56,2026-02-06T21:58:07.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,claude-sonnet,1390,721,0.0225,2663,success,low,0.988,positive,,5,DAX performance logs,test
run_000049_b1ef975b,2026-02-06T22:58:18.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,1135,938,0.0012,838,success,low,0.849,positive,,1,payment dispute queue,dev
run_000050_2b9e7f71,2026-02-06T23:17:16.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,796,1364,0.0016,1163,success,low,0.99,neutral,,0,capacity utilisation extract,prod
run_000051_d7558338,2026-02-07T00:26:58.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,local-gemma,1515,716,0.0001,967,cancelled,medium,0.769,neutral,Run Failure,0,DAX performance logs,dev
run_000052_0350cbc4,2026-02-07T03:00:41.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,claude-sonnet,1292,465,0.0163,3058,success,low,0.782,positive,,0,vendor contract summary,prod
run_000053_b38b5e8f,2026-02-07T03:24:22.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4.1,6327,1544,0.0375,3364,success,low,0.625,positive,,6,HR policy knowledge base,prod
run_000054_c9bf9030,2026-02-07T03:35:15.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4.1,1137,953,0.0148,1775,success,low,0.841,positive,,1,leave policy index,dev
run_000055_a642fb17,2026-02-07T03:46:05.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,claude-sonnet,1032,724,0.0209,1570,success,low,0.904,neutral,,0,semantic model metadata,dev
run_000056_cb081e10,2026-02-07T05:34:05.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,837,473,0.0007,348,success,low,0.753,positive,,0,Power BI usage metrics,test
run_000057_d05c8b36,2026-02-07T08:26:26.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,1655,1141,0.0016,1379,success,high,0.805,neutral,Data Risk,0,synthetic employee case notes,prod
run_000058_c2a7d130,2026-02-07T08:43:18.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,1602,299,0.0007,1110,success,low,0.755,not_provided,,7,capacity utilisation extract,prod
run_000059_3b7579ec,2026-02-07T09:19:58.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4.1,876,547,0.0092,1037,success,low,0.969,positive,,0,HR policy knowledge base,prod
run_000060_04edc066,2026-02-07T10:11:40.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,1250,546,0.0009,1601,failed,medium,0.836,not_provided,Run Failure,0,synthetic customer account notes,dev
run_000061_40210c22,2026-02-07T10:56:04.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,940,388,0.0006,2357,failed,medium,0.842,negative,Run Failure,2,vendor contract summary,prod
run_000062_31d44d22,2026-02-07T12:11:30.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,local-gemma,2387,271,0.0001,1120,success,high,0.61,positive,Low Groundedness,0,employee handbook,test
run_000063_4f68364a,2026-02-07T12:22:12.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,local-gemma,591,172,0.0,1089,success,low,0.87,positive,,3,vendor contract summary,prod
run_000064_de4e7707,2026-02-07T13:52:49.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4.1,4075,612,0.0196,2721,success,low,0.759,negative,,2,vendor contract summary,test
run_000065_16976739,2026-02-07T19:47:11.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4.1,2056,592,0.0133,1068,success,low,0.831,neutral,,0,capacity utilisation extract,test
run_000066_c9320cc2,2026-02-07T20:05:13.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,1123,370,0.0007,596,success,low,0.858,positive,,0,vendor contract summary,dev
run_000067_cadeea3f,2026-02-07T21:38:45.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,1079,2463,0.0027,988,success,high,0.951,neutral,Data Risk,0,synthetic customer account notes,prod
run_000068_6651bed6,2026-02-07T22:23:51.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,3013,1164,0.0019,803,success,low,0.894,neutral,,1,synthetic employee case notes,test
run_000069_e8662d13,2026-02-07T22:50:45.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,3538,1658,0.0025,814,success,low,0.756,positive,,2,leave policy index,prod
run_000070_4500514a,2026-02-08T01:16:52.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,1000,1462,0.0017,2982,failed,high,0.802,neutral,Data Risk,1,synthetic customer account notes,prod
run_000071_0dded298,2026-02-08T02:22:13.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,626,830,0.001,552,success,low,0.844,positive,,1,DAX performance logs,dev
run_000072_71074002,2026-02-08T03:59:48.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,1446,1077,0.0014,1524,success,low,0.833,negative,,4,DAX performance logs,prod
run_000073_cadb25ad,2026-02-08T04:44:25.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,claude-sonnet,1736,1198,0.0348,3014,success,low,0.801,negative,,6,semantic model metadata,prod
run_000074_650ada56,2026-02-08T05:01:04.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,claude-sonnet,5706,876,0.0454,2058,success,low,0.953,neutral,,1,HR policy knowledge base,test
run_000075_9373fe89,2026-02-08T05:05:50.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,3519,562,0.0014,874,success,low,0.871,positive,,3,capacity utilisation extract,dev
run_000076_5fae7d9c,2026-02-08T05:52:55.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4.1,1864,605,0.0129,1827,success,low,0.841,positive,,4,payment dispute queue,prod
run_000077_4ad1b936,2026-02-08T05:56:37.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,922,343,0.0006,3481,failed,high,0.467,neutral,Run Failure,2,invoice ledger extract,test
run_000078_c1eba4c6,2026-02-08T07:50:00.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,860,465,0.0007,975,success,low,0.927,neutral,,1,invoice ledger extract,dev
run_000079_5ae97dbc,2026-02-08T09:36:13.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4.1,1451,494,0.0103,633,success,low,0.842,neutral,,3,leave policy index,prod
run_000080_d6ff2b10,2026-02-08T13:11:00.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4.1,2945,910,0.0198,2781,success,low,0.662,not_provided,,9,HR policy knowledge base,dev
run_000081_ec207252,2026-02-08T13:22:56.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,1042,363,0.0006,1063,success,low,0.85,positive,,1,capacity utilisation extract,prod
run_000082_5afc8e2f,2026-02-08T13:50:28.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,2913,477,0.0012,1204,success,high,0.469,negative,Low Groundedness,0,HR policy knowledge base,prod
run_000083_5afd7321,2026-02-08T14:51:54.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4.1,1548,693,0.013,856,success,low,0.713,neutral,,3,invoice ledger extract,dev
run_000084_cbc227f5,2026-02-08T15:33:49.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,local-gemma,1573,950,0.0001,993,success,low,0.944,neutral,,0,HR policy knowledge base,prod
run_000085_77fc9f1f,2026-02-08T17:48:04.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,4230,764,0.0018,1428,success,low,0.843,negative,,0,leave policy index,prod
run_000086_c00f63a0,2026-02-08T18:11:41.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,local-gemma,414,439,0.0,1245,success,low,0.914,positive,,1,semantic model metadata,dev
run_000087_31919074,2026-02-08T18:54:50.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,1733,331,0.0008,961,success,low,0.712,positive,,1,semantic model metadata,prod
run_000088_3e9391c4,2026-02-08T19:18:08.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,local-gemma,2104,708,0.0001,981,success,high,0.919,positive,Data Risk,0,synthetic employee case notes,prod
run_000089_72c6573a,2026-02-08T19:49:16.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,891,1007,0.0012,895,success,low,0.63,negative,,3,leave policy index,test
run_000090_e9b63f96,2026-02-08T21:55:28.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4.1,848,911,0.0135,2139,success,low,0.926,positive,,3,HR policy knowledge base,prod
run_000091_c45b8260,2026-02-09T02:25:00.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,claude-sonnet,4105,499,0.0297,1390,success,low,0.786,negative,,0,leave policy index,test
run_000092_14beb275,2026-02-09T04:58:32.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,1050,419,0.0007,1010,success,low,0.862,positive,,1,DAX performance logs,dev
run_000093_4b31e779,2026-02-09T05:09:10.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,2903,958,0.0017,890,success,high,0.718,positive,Data Risk,0,synthetic employee case notes,prod
run_000094_bfdbeb6c,2026-02-09T05:18:26.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,local-gemma,518,190,0.0,622,success,high,0.872,positive,Data Risk,5,synthetic employee case notes,prod
run_000095_e555365c,2026-02-09T05:59:31.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4.1,1785,1285,0.0208,1740,success,low,0.792,positive,,0,capacity utilisation extract,prod
run_000096_acea2472,2026-02-09T06:00:53.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,claude-sonnet,1475,1551,0.0415,2169,success,high,0.755,not_provided,Data Risk,2,synthetic employee case notes,prod
run_000097_22a89cd4,2026-02-09T06:30:20.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,local-gemma,2205,700,0.0001,1483,failed,medium,0.818,not_provided,Run Failure,0,synthetic employee case notes,prod
run_000098_d68c69fc,2026-02-09T07:51:07.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,claude-sonnet,741,532,0.0153,1786,success,low,0.774,negative,,1,leave policy index,prod
run_000099_75a648dd,2026-02-09T08:23:58.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4.1,1420,318,0.0081,2684,success,low,0.694,neutral,,0,semantic model metadata,dev
run_000100_30f097eb,2026-02-09T09:30:13.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,1290,756,0.0011,1390,success,low,0.933,positive,,2,leave policy index,test
run_000101_4e29ce4a,2026-02-09T10:14:02.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,876,712,0.0009,1048,success,low,0.906,positive,,0,Power BI usage metrics,test
run_000102_86f18f33,2026-02-09T13:03:13.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,1440,1312,0.0017,982,success,low,0.939,neutral,,7,synthetic customer account notes,test
run_000103_f6b8369b,2026-02-09T14:21:48.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,3095,949,0.0017,1367,success,high,0.99,neutral,Data Risk,0,invoice ledger extract,prod
run_000104_3770e455,2026-02-09T14:26:24.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,2224,721,0.0013,600,success,high,0.34,neutral,Low Groundedness,1,leave policy index,prod
run_000105_bcc8b913,2026-02-09T15:11:25.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,2193,675,0.0012,857,success,low,0.973,positive,,2,synthetic customer account notes,test
run_000106_dc60f921,2026-02-09T18:28:49.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4.1,2696,238,0.0109,1954,success,low,0.827,positive,,3,leave policy index,prod
run_000107_7ed7bf2c,2026-02-09T18:54:10.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,local-gemma,1071,749,0.0001,809,success,low,0.99,neutral,,3,leave policy index,test
run_000108_96a00451,2026-02-09T20:40:28.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,claude-sonnet,1320,501,0.0172,3157,success,high,0.763,positive,Data Risk,6,synthetic customer account notes,prod
run_000109_8fc1d787,2026-02-09T21:20:25.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4.1,739,974,0.0139,1740,success,low,0.852,neutral,,1,Power BI usage metrics,test
run_000110_f90b5905,2026-02-09T23:06:39.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,claude-sonnet,1965,529,0.0207,3940,timeout,medium,0.874,neutral,Run Failure,0,leave policy index,test
run_000111_9b16448d,2026-02-10T00:24:41.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,1855,646,0.0011,5855,failed,medium,0.916,negative,Run Failure,9,HR policy knowledge base,prod
run_000112_52a2622a,2026-02-10T00:45:57.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,local-gemma,2956,811,0.0002,915,success,low,0.802,positive,,0,payment dispute queue,prod
run_000113_3795e0f2,2026-02-10T01:19:16.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,853,882,0.0011,1020,success,low,0.744,positive,,1,Power BI usage metrics,prod
run_000114_e01e0370,2026-02-10T03:06:08.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,1632,955,0.0014,1254,success,low,0.835,not_provided,,0,synthetic customer account notes,dev
run_000115_95c29d9a,2026-02-10T04:28:56.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,3037,295,0.0011,1094,success,low,0.99,positive,,0,Power BI usage metrics,dev
run_000116_28861f49,2026-02-10T05:13:38.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,791,933,0.0011,742,success,low,0.702,neutral,,0,vendor contract summary,dev
run_000117_0ab542b6,2026-02-10T05:22:23.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,1785,140,0.0006,813,success,low,0.895,not_provided,,0,capacity utilisation extract,test
run_000118_08ea36c1,2026-02-10T05:52:08.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,local-gemma,1563,1649,0.0002,451,success,low,0.951,neutral,,2,HR policy knowledge base,test
run_000119_8309e270,2026-02-10T06:10:37.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4o-mini,642,284,0.0004,1274,success,low,0.919,neutral,,3,synthetic customer account notes,test
run_000120_d0c870be,2026-02-10T09:13:30.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,gpt-4o-mini,1240,311,0.0006,1379,success,low,0.75,positive,,2,Power BI usage metrics,prod
run_000121_7b502f02,2026-02-10T11:26:30.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,claude-sonnet,4554,104,0.0228,3460,success,low,0.902,negative,,3,DAX performance logs,dev
run_000122_c785cfaa,2026-02-10T12:09:57.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,686,526,0.0007,1203,success,high,0.913,negative,Data Risk,2,synthetic employee case notes,prod
run_000123_046d58b9,2026-02-10T12:14:11.771687+00:00,agent_powerbi_optimiser,Power BI Optimiser Agent,Analytics,claude-sonnet,1498,544,0.019,3923,failed,medium,0.699,neutral,Run Failure,4,capacity utilisation extract,dev
run_000124_18a06e38,2026-02-10T13:19:36.771687+00:00,agent_invoice_dispute,Invoice Dispute Agent,Finance Operations,gpt-4.1,5666,1239,0.0319,1299,success,high,0.976,negative,Data Risk,2,invoice ledger extract,prod
run_000125_aa83a24d,2026-02-10T13:47:58.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,901,793,0.001,3663,timeout,medium,0.961,negative,Run Failure,2,HR policy knowledge base,test
run_000126_8718a333,2026-02-10T16:23:48.771687+00:00,agent_hr_policy,HR Policy Agent,Human Resources,gpt-4o-mini,1069,272,0.0005,1250,success,high,0.539,neutral,Data Risk,2,synthetic employee case notes,prod
